id;autors;fecha_nato
0;Julie Strain;1906-03-16
1;Philip Nel;1939-08-11
2;David R. Ray;1929-11-01
3;Veronica Haddon;1935-05-29
4;Edward Long;1911-06-04
5;Everett Ferguson;1907-02-06
6;Miriam Allen De Ford;1912-05-08
7;Lee Blessing;1978-12-13
8;Mary Fabyan Windeatt;1956-11-26
9;Steven Wardell;1969-06-06
10;Camillia Fawzi El-Solh;1986-10-26
11;Armando Salda A-Mora;1996-09-13
12;Evelyn B. Christensen;1934-05-13
13;Allen Gersho;2008-03-16
14;Frank Owen;1951-03-15
15;Barry Crump;1968-02-03
16;Fiona Cownie;1928-07-24
17;Rochelle Gurstein;1972-07-26
18;Kenneth H. Cooper;1958-01-05
19;Ruth Allman;1922-09-05
20;Robert Kane;1969-10-14
21;Dorling Kindersley Publishing Staff;1947-06-27
22;Howard Hill;1954-12-27
23;DK;1918-09-07
24;Sonia Rivera-Valdes;1981-12-21
25;Arthur J. Droge;2007-12-15
26;Donald Laming;2006-10-30
27;John T. Morse;1975-10-17
28;Steve Richardson;2013-11-09
29;John Adrian;1976-03-28
30;National Portrait Gallery;2017-07-28
31;Rupert Fike;2005-10-11
32;E. B. Harvey;1917-05-31
33;Stefan Draminski;1908-11-10
34;Raymond Charles Barker;1941-09-09
35;N/A;2000-10-23
36;Lorenz Books;1981-07-31
37;Kristin Ramsdell;1960-12-14
38;National Geographic Maps;1989-04-16
39;Jeffrey M. Bale;1946-11-14
40;Karen Cummings;1906-06-23
41;Marie Weil;1970-12-17
42;May Mcgoldrick;1992-04-29
43;Kayode J. Fakinlede;1947-09-04
44;Sydney Walker;1956-10-03
45;Ryan Jones;1925-07-30
46;Tedd Benson;2012-11-09
47;George Oakes Jaquith;1978-09-23
48;Elizabeth Sinclair;1958-12-16
49;Sue Walters;1930-02-28
50;J. G. A. Pocock;2015-02-03
51;Cara Delevingne;1976-07-20
52;Kevin Valgaeren;1913-07-01
53;"Neill"", ""George O";1952-07-07
54;John Ruskin;2001-01-12
55;Thomas F. Torrance;2013-10-31
56;United States. Coast Guard;1918-07-08
57;Dorie N. Van Stone;1929-09-13
58;Alan Nourse;2019-02-25
59;Peter Bander;1959-03-13
60;John Morrone;1937-08-28
61;Mary J. Getten;1962-02-09
62;Evan Gerstmann;1971-12-22
63;Jerry Baker;1907-03-20
64;Mark Graham;1948-12-19
65;Dennis B. Klein;1906-04-13
66;Tom Williams;1908-11-17
67;Douglas Terman;1941-02-27
68;John Doody;1995-06-28
69;Graham Robson;1928-02-10
70;"Donnell""]";1980-11-12
71;Ramon Llull;1963-04-06
72;L.J. Smith;1916-12-11
73;Non Ishida;1984-08-15
74;Richard Hofstadter;1983-04-06
75;Kelly Bulkeley;1936-09-05
76;Karel Eckschlager;1984-11-25
77;Bill Franz;2015-01-17
78;L. V. H. Crosby;1916-12-21
79;Ellis Spear;1988-07-03
80;Jeroen C. J. M. Van den Bergh;1914-12-31
81;Anthony Capella;1972-01-21
82;Thomas Chastain;1909-02-07
83;Charles J. Bodenstab;1963-08-02
84;Tad Tuleja;1984-09-13
85;Jim Fay;1977-10-18
86;Frances Parkinson Keyes;1958-11-18
87;Julian Winston;1987-06-12
88;Thomas Powell;1994-05-01
89;K. H. Scheer;1962-03-01
90;Peter Kenez;2021-11-27
91;M. Uyehara;1937-02-24
92;Michelle Bain;2005-04-02
93;BroadStreet Publishing Group LLC;1957-10-29
94;Timothy Zahn;1986-12-17
95;Oscar Wilde;1953-08-10
96;Mercer Mayer;1956-03-11
97;Christine Feehan;1956-04-29
98;Norvell;1975-04-07
99;Tonie Holt;1989-11-14
100;Stephen L. Pearce;1973-03-15
101;Louis Berkhof;1925-06-17
102;Patricia Cornwell;1979-08-01
103;Ann Radcliffe;1908-01-17
104;Rob Dückers;1951-09-28
105;Kristine Stiles;2015-06-30
106;Barbara Melosh;1921-07-21
107;Joann Sfar;2007-04-30
108;Sloan, Bill;1905-09-12
109;John Malatich;1908-07-20
110;Robert Ross Smith;1998-12-24
111;Candi Adermatt;1996-06-26
112;John McPherson;1924-02-02
113;Frederik Pohl;1925-07-29
114;Walter B. Meigs;1929-02-27
115;David Hatcher Childress;1904-05-18
116;David Herbert Donald;1936-11-13
117;Henry Hazlitt;1976-05-27
118;Rick Hautala;1976-04-20
119;Bertrand Russell;1930-06-24
120;Sandra Markle;1972-02-22
121;Donald Denoon;2016-07-05
122;Ted J. Kaptchuk;1979-08-24
123;Laurie Lawlor;2018-05-13
124;Horst Keller;1917-08-16
125;Charles J. Finger;2007-06-04
126;Sharon De Vita;1923-12-04
127;Michel LEVIEUX;1982-12-28
128;Robert T. Rood;1922-10-10
129;John William Ransom Taylor;1991-10-06
130;Katherine Ramsland;2019-02-26
131;Ansel F. Hall;2016-02-08
132;Bruce M. Nash;1949-04-23
133;Henry Abramson;2020-01-01
134;Timur Kuran;1992-05-19
135;George A. Ellis;1937-09-25
136;Jacques Derrida;1902-08-03
137;Jack Higgins;1953-06-09
138;Rose Estes;1958-10-14
139;Paul Beyerl;1974-04-27
140;Dewar Designs LLC;1998-04-17
141;Nathanael West;2021-04-20
142;Marie Hammontree;1934-11-24
143;Charles Kingsley;1975-06-22
144;José Hernández;1941-08-05
145;Leroy Garrett;2009-03-24
146;Amanda Ashley;2015-09-18
147;Arnold Schwarzenegger;1903-11-02
148;Wallace Welch;1917-11-09
149;Bruce Holmes;1951-06-17
150;Cyril Connolly;1910-04-08
151;Karen Judson;1966-09-13
152;Nathaniel Hawthorne;1937-02-10
153;Stephen L. Corson;1945-01-31
154;Jerry Mungadze Phd;1904-08-04
155;Alfred Carl Hottes;1998-03-10
156;William Stanley Jevons;2019-10-20
157;Martin Frank;1998-06-16
158;Jon Aristides;1948-03-10
159;Patrick Jennings;1973-01-09
160;Michael D. Tuttle;1970-02-06
161;Shaw;1952-04-05
162;Neill;1928-12-30
163;Max Blumenthal;1929-04-15
164;Eric Jensen;1902-11-25
165;Damien Bona;1983-12-08
166;Johannes Itten;2007-05-26
167;Robert Milner;2007-08-23
168;Dean Dudley;1931-09-06
169;Carol Belanger Grafton;1955-07-05
170;Lisa Oakley;1907-01-31
171;Jeffrey McAndrew;1902-10-22
172;Alanna Morland;2006-03-07
173;Gerry Nagtzaam;2011-04-16
174;Phillip A. Laplante;1973-06-06
175;Ralph Mayer;2015-07-29
176;Shawn Robbins;1991-10-04
177;Christine Ramsey Lyman;1909-02-26
178;Robert F. Jones;1938-06-19
179;Tsung Hwa Jou;1935-03-09
180;Tanith Lee;1991-01-18
181;Brian L. Weiss;2009-09-25
182;John Schaefer;1959-01-07
183;Don Holm;1907-10-19
184;Juliet Marillier;1923-12-18
185;E. Batschelet;1916-12-08
186;Seymour Reit;2016-10-13
187;Zelig Pliskin;1999-01-27
188;Arie de Geus;1938-01-10
189;David Lundberg;1991-08-10
190;Janey Trishon;1956-11-24
191;Philip José Farmer;1977-04-03
192;Clarissa Lightheart;1919-01-11
193;David Wiltse;1956-04-04
194;Zdena Kapral;1906-06-29
195;Caren Caraway;2021-10-10
196;Julia McMeans;1993-05-24
197;Klutz;1920-12-28
198;Daniel Chartier;1949-04-22
199;John Herd Thompson;1919-11-12
200;Malcolm Andrew;1939-06-28
201;Robert Caper;1951-09-09
202;W. W. Jacobs;1974-01-01
