id;nombre
1;Comics & Graphic Novels
2;Biography & Autobiography
3;Religion
4;Fiction
5;N/A
6;Social Science
7;Reference
8;Juvenile Nonfiction
9;Technology & Engineering
10;History
11;New Zealand fiction
12;Law
13;Political Science
14;Health & Fitness
15;Cooking
16;Philosophy
17;Europe
18;Sports & Recreation
19;Body
20;Psychology
21;Bible stories
22;New Thought
23;Crafts & Hobbies
24;Language Arts & Disciplines
25;Juvenile Fiction
26;Foreign Language Study
27;Medical
28;Architecture
29;Art
30;Family & Relationships
31;Literary Collections
32;Merchant marine
33;Spiritualism
34;America
35;Local author
36;Gardening
37;Holocaust
38;Meditations
39;Games
40;Science
41;Business & Economics
42;Computers
43;English language
44;Performing Arts
45;Adventure stories
46;Woburn (Mass.)
47;Children
48;Families
49;Success
50;Travel
51;Bible
52;Great Britain
53;Illumination of books and manuscripts
54;Arts
55;Humor
56;Accounting
57;Mathematics
58;Audiocassettes for children
59;ABAP/4 (Computer program language)
60;Prisoners
61;Nineteen thirties
62;Poetry
63;Mythology
64;Directories
65;Endometriosis
66;Logic
67;Business mathematics
68;Education
69;Health education
70;Ecoterrorism
71;High school dropouts
72;Artists
73;Music
74;Jewish ethics
75;Drama
76;Czechoslovakia
77;Coloring books
78;Arctic regions
79;American wit and humor
80;Rodin
81;Nature
82;Audiobooks
83;World War
84;Norway
85;Heroes
86;American Confederate voluntary exiles
87;Bibles
88;Literary Criticism
89;Christian life
90;Chile
91;Authors
92;Detective and mystery stories
93;Golf
94;Constitutional law
95;Caterpillars
96;Design
97;Physical fitness
98;Humanism
99;Best books
100;House buying
101;Feminism
102;Library science
103;Livingston County (N.Y.)
104;Antiques & Collectibles
105;East Asia
106;French language
107;Soil conservation
108;Civilization
109;Diaries
110;Photography
111;Floor coverings
112;Bears
113;Self-Help
114;Condominium associations
115;Acteurs de cinÃ©ma - Ã‰tats-Unis - Biographies
116;Ice cream
117;Business enterprises
118;Devotional calendars
119;Medicine ball
120;Church and state
121;Bus travel
122;Authorship
123;Intelligence officers
124;Airplanes
125;Girls
126;Goddesses
127;American fiction
128;Corporation law
129;Common fallacies
130;Prints
131;Vietnam War
132;Science fiction
133;House & Home
134;School yearbooks
135;California
136;Copyright
137;Presbyterian Church
138;Ghost stories
139;Alaska
140;Languages
141;Legislative calendars
142;Sex (Psychology)
143;Canada Imprints
144;Firearms owners
145;Intellect
146;Katy
147;Baptism
148;Hydrology
149;Agricultural chemistry
150;Devil
151;Diazepam
152;Arthurian romances
153;Class actions (Civil procedure)
154;Study Aids
155;Young Adult Fiction
156;Pets
157;Nuclear arms control
158;Fancy work
159;Natural history
160;Ethnology in the Bible
161;Puerto Rican poetry
162;Youth
163;Economics
164;Church group work
165;Dungeons and Dragons (Game)
166;Indian captivities
167;Sermons
168;Abortion counseling
169;Child development
170;Multiple personality
171;Apologetics
172;Fathers and sons
173;Law reports
174;Social psychology
175;Surrealism
176;Christian saints
177;Breeding
178;Aging
179;Dutch language
180;Aunts
181;Presidents
182;Hummingbirds
183;Tarot
184;Monkeys
185;Architecture and solar radiation
186;Afghanistan
187;Satire
188;Horses
189;Death
190;Large type books
191;Fatherhood
192;Thought and thinking
193;Animal industry
194;African American musicians
195;Linguistics
196;True Crime
197;Games & Activities
198;Warships
199;Cookbooks
200;Anthroposophy
201;Piano
202;Monk
203;Pentecostalism
204;Corrections
205;American literature
206;Evidence (Law)
207;Large print books
208;QuÃ©bec (Province)
209;English drama
210;God
211;Government publications
212;Botswana
213;Garlic
214;Painting
215;Devotional literature
216;Bonds
217;New England
218;Chinese language
219;Automobiles
220;Abused children
221;Aeronautics
222;Christian poetry
223;Future life
224;Aboriginal Australians
225;Adult children
226;Kentucky
227;Mormon Church
228;Multiple sclerosis
229;Boraginaceae
230;Health insurance
231;Ship brokers
232;Fantasy fiction
233;Stunt flying
234;Violin
235;Americans
236;Vocabulary
237;Alabama
238;Calligraphy
239;Spanish language
240;Fairy tales
241;Motion picture actors and actresses
242;Self-publishing
243;Eschatology
244;Transportation
245;Firearms
246;Dee Jen-Djieh (Fictitious character)
247;Railroads
248;Arboviruses
249;Thai language
250;American poetry.
251;Book burning
252;French fiction
253;Periodicals
254;Domestic fiction
255;Body Life
