it;publisher unico;id_ubicacion
1;n/a;319
2;A&C Black;297
3;iUniverse;6
4;Wm. B. Eerdmans Publishing;260
5;Tan Books & Pub;61
6;Plympton PressIntl;205
7;Berg Pub Limited;303
8;Sky Pony;271
9;Springer Science & Business Media;129
10;Pickle Partners Publishing;334
11;Bloomsbury Publishing;280
12;Hill and Wang;174
13;Bantam;377
14;Alaska Northwest Books;346
15;OUP USA;30
16;Derrydale Press;177
17;Dorling Kindersley Ltd;393
18;Seven Stories Press;249
19;Mohr Siebeck;203
20;John Wiley & Sons;100
21;Simon and Schuster;322
22;Smithsonian Institution;172
23;Book Publishing Company;226
24;Remedia Publications;59
25;Lorenz Books;242
26;ABC-CLIO;240
27;Routledge;315
28;Chelsea House Pub;154
29;SAGE;193
30;Harper Collins;222
31;Hippocrene Books;192
32;Wiley;275
33;St. Martin's Griffin;1
34;Harlequin Treasury-Harlequin American Romance 90s;57
35;Fox Chapel Publishing Company Incorporated;299
36;Cambridge University Press;63
37;Lannoo Meulenhoff - Belgium;204
38;Rowman & Littlefield;199
39;Yale University Press;45
40;Moody Publishers;203
41;Ace Books;125
42;Trafford Publishing;173
43;Stanford University Press;328
44;Random House Digital, Inc.;365
45;Georgetown University Press;184
46;HarperThorsons;169
47;Lexington Books;371
48;Veloce Publishing Ltd;195
49;The Rosen Publishing Group, Inc;299
50;Picador;389
51;Vintage;389
52;Beacon Press;89
53;Cumberland House Publishing;141
54;Edward Elgar Publishing;243
55;Boekerij;218
56;Avon Books;62
57;Hellgate Press;349
58;"New York : Macmillan ; London : Collier Macmillan";28
59;Love & Logic Press;336
60;I.B. Tauris;302
61;Black Belt Communications;269
62;BroadStreet Publishing Group LLC;170
63;St Martins Press;348
64;Reward Books;96
65;Hunter Pub Incorporated;56
66;Tower Hill Press;306
67;Luitingh Sijthoff;158
68;Univ of California Press;391
69;Pantheon;289
70;Pelican Publishing;327
71;Hachette UK;281
72;Cladach Pub;199
73;Andrews McMeel Publishing;381
74;Adventures Unlimited Press;143
75;Open Road Media;196
76;Currency;388
77;Smart about History;325
78;McGraw-Hill Education;35
79;SAP PRESS;385
80;Courier Dover Publications;267
81;HarperCollins UK;132
82;Scribner Book Company;196
83;Berkley;398
84;Forgotten Books;291
85;Troll Communications Llc;18
86;Harvard Ukrainian;107
87;Princeton University Press;85
88;Houghton Mifflin Harcourt;350
89;Religion and Postmodernism;156
90;Phoenix Publishing (WA);390
91;Tredition Classics;93
92;SUNY Press;296
93;Zebra Books                   ;143
94;Simon & Schuster;131
95;Publishers Distributing Company;239
96;Persea Books;50
97;Enslow Pub Incorporated;11
98;Independently Published;345
99;CreateSpace;132
100;Kodansha Amer Incorporated;48
101;Nation Books;304
102;Corwin;281
103;Ballantine Books;95
104;Safari Press;127
105;Cengage AU;208
106;Courier Corporation;299
107;Tarcher;242
108;CRC Press;76
109;Penguin Putnam;250
110;Modern-Day Witch;315
